Number of Tasks:
10
Number of Servers:
10
Arrival Rates:
"64,53,123,99,78,118,82,84,117,132"
Service Rates:
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
"100,100,100,100,100,100,100,100,100,100"
F Matrix:
"1,1,0,0,0,0,0,0,0,0"
"0,1,1,0,0,0,0,0,0,0"
"0,0,1,1,0,0,0,0,0,0"
"0,0,0,1,1,0,0,0,0,0"
"0,0,0,0,1,1,0,0,0,0"
"0,0,0,0,0,1,1,0,0,0"
"0,0,0,0,0,0,1,1,0,0"
"0,0,0,0,0,0,0,1,1,0"
"0,0,0,0,0,0,0,0,1,1"
"1,0,0,0,0,0,0,0,0,1"
